2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] ---Started to run library AEF Core OK---
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 6036] Before Library AEF Core initialize
2022-09-08 19:58:48; INFO; AEF Core; 5228; 6036] (UWPInfoMonitor(ArmouryCrate))ROG System:False
2022-09-08 19:58:48; INFO; AEF Core; 5228; 6036] (UWPInfoMonitor(ArmouryCrate))UWP Info:{
  IsInstalled:1,
  PPAgreed:1,
  PPRead:1,
  Version:5.2.12.0,
}
2022-09-08 19:58:48; INFO; AEF Core; 5228; 6036] (UWPInfoMonitor(MyASUS))App(MyASUS) is not found.
2022-09-08 19:58:48; INFO; AEF Core; 5228; 6036] (UWPInfoMonitor(MyASUS))UWP Info:{
  IsInstalled:0,
  Version:,
}
2022-09-08 19:58:48; INFO; AEF Core; 5228; 6036] Core Attributes:([ModelName]:PRO B660-A DDR4 (MS-7D59)) ([ProductLine]:128) ([SerialNumber]:Default string) ([SubBrand]:16) ([SubBrandStyle]:0) ([SystemDeviceUUID]:DBCFD6F29E474293ACFB2EECFDC9B3F7) ([SystemFamilyName]:Default string) 
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 6036] (4)Library AEF Core initialize OK
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT Start
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] StartRunning, Name: Loopback Stream, RunningThread 00000000000008F0
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] ---Started to run library Loopback Stream OK---
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 9508] Before Library Loopback Stream into AddChildLibrary
2022-09-08 19:58:48; INFO; AEF Core; 5228; 20744] Enter GetPacket loop - Service.
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 9508] (101)Loopback Stream into AddChildLibrary OK
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT Start
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] StartRunning, Name: Free Up Memory Plugin, RunningThread 00000000000009C8
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] ---Started to run library Free Up Memory Plugin OK---
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 24448] Before Library Free Up Memory Plugin into AddChildLibrary
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 24448] ChangeWindowMessageFilter, add message: 49578
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 24448] ChangeWindowMessageFilter, add message: 49578 for id: {3B9D1AB2-1F72-4B7D-BF93-B92627943D2B}
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 24448] (8)Free Up Memory Plugin into AddChildLibrary OK
